x,y,Record_ID,Name,Address,Additonal_Address,City,State,ZIP,Zip4,County,Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
-9420193.611,4031647.81473933,272715,Publix 559,2774 N Cobb Pkwy,Ste 201,Kennesaw,GA,30152,3469,COBB,Supermarket,34.021191,-84.623039,,,8936
-9371422.538,3952805.86856477,383341,Walmart SUPERCENTER 3201,135 Willow Ln,,McDonough,GA,30253,6574,HENRY,Super Store,33.432148,-84.184921,,,9063
-9395444.171,3967437.24429941,348436,DOLLAR GENERAL  4011,286 Highway 138 SW,Ste 115,Riverdale,GA,30274,4010,CLAYTON,Other,33.541767,-84.400711,,,9226
-9397062.089,3969994.12079396,348530,KROGER  319,7125 Highway 85,,Riverdale,GA,30274,2900,CLAYTON,Super Store,33.560909,-84.415245,,,9231
-9372361.852,4060838.89398372,355761,KROGER  432,2325 Bethelview Rd,,Cumming,GA,30040,9473,FORSYTH,Super Store,34.238255,-84.193359,,,9325
-9345991.155,4020051.55462075,356157,PUBLIX 1078,930 NEW HOPE RD,,LAWRENCEVILLE,GA,30045,6407,GWINNETT,Supermarket,33.934807,-83.956467,,,9347
-9381576.768,4041608.6346479,349122,KROGER 495,12870 STATE HWY 9,,ALPHARETTA,GA,30004,    ,FULTON,Super Store,34.095322,-84.276138,,,9417
-9373196.748,4007551.34919625,297810,QUIKTRIP 704,1999 Mountain Industrial Blvd,,Tucker,GA,30084,6629,DEKALB,Convenience Store,33.841591,-84.200859,,,9458
-9416189.226,3960287.754696,289716,PUBLIX 0892,1512 Highway 74 N,,Tyrone,GA,30290,1663,FAYETTE,Supermarket,33.48822,-84.587067,,,9602
-9403005.548,3970371.7829531,298259,CVS Pharmacy 2213,7055 Old National Hwy,,Riverdale,GA,30296,1665,FULTON,Other,33.563736,-84.468636,,,9687
-9414950.908,4006220.01088509,384223,ALDI 76069,5020 Floyd Rd SW,,Mableton,GA,30126,1608,COBB,Supermarket,33.831657,-84.575943,,,9937
-9410156.6,3976145.66228001,1658912,4410 Roosevelt Amoco,4410 Roosevelt Hwy,,College Park,GA,30349,2518,FULTON,Convenience Store,33.606945,-84.532875,,,9943
-9357691.056,4013353.60467967,357475,KROGER  394,3050 Five Forks Trickum Rd SW,,Lilburn,GA,30047,1807,GWINNETT,Super Store,33.884872,-84.061569,,,9990
-9380925.438,3995722.00920248,352087,KROGER 303,3479 MEMORIAL DR,,DECATUR,GA,30032,    ,DEKALB,Super Store,33.753284,-84.270287,,,10028
-9405113.493,3987190.2241828,352329,CVS Pharmacy 5621,3030 HEADLAND DR,,ATLANTA,GA,30311,    ,FULTON,Other,33.689537,-84.487572,,,10056
-9397342.391,3993501.55854604,355138,Big Bear Supermarket,683 Joseph E Lowery Blvd SW,,Atlanta,GA,30310,1819,FULTON,Super Store,33.736698,-84.417763,,,10157
-9406248.952,4046583.23778096,385849,QUIKTRIP 781,4865 OLD HWY 5,,WOODSTOCK,GA,30188,    ,CHEROKEE,Convenience Store,34.13232,-84.497772,,,10197
-9381077.389,4031899.37842737,451574,KROGER  344,3000 Old Alabama Rd,,Alpharetta,GA,30022,5860,FULTON,Super Store,34.023064,-84.271652,,,10259
-9382140.713,4000996.12979508,451694,CVS Pharmacy 2175,2738 N Decatur Rd,,Decatur,GA,30033,5910,DEKALB,Other,33.792667,-84.281204,,,10269
-9370331.162,4050649.19026388,281637,INGLES MARKETS 106,6055 Bethelview Rd,,Cumming,GA,30040,6317,FORSYTH,Supermarket,34.162548,-84.175117,,,10396
-9403842.893,3977275.54772871,1654055,Discount Food Mart,2668 Godby Rd,,College Park,GA,30349,3170,FULTON,Convenience Store,33.615398,-84.476158,,,10570
-9402774.448,4018588.76352588,386118,PUBLIX 725,2900 DELK RD SE,STE 1150,MARIETTA,GA,30067,    ,COBB,Supermarket,33.923904,-84.46656,,,10588
-9441140.822,4004402.83773382,436625,KROGER 616,4815 Ridge Rd,,Douglasville,GA,30134,6142,DOUGLAS,Super Store,33.818096,-84.811211,,,10793
-9407586.679,3991761.88522289,385247,Fina Food Mart,3724 Cascade Rd SW,,Atlanta,GA,30331,2106,FULTON,Convenience Store,33.723701,-84.509789,,,10795
-9346609.424,4015006.56793864,354782,KROGER STORE  480,1911 Grayson Hwy,,Grayson,GA,30017,1245,GWINNETT,Super Store,33.897198,-83.962021,,,10876
-9425348.928,4009144.49472389,435807,DOLLAR GENERAL 613,4110 Austell Powder Springs Rd,,Powder Springs,GA,30127,2926,COBB,Other,33.853477,-84.66935,,,10885
-9385865.797,3971057.2706894,318324,QUIKTRIP 791,6801 Mount Zion Blvd,,Morrow,GA,30260,3103,CLAYTON,Convenience Store,33.568867,-84.314667,,,11018
-9364340.281,3953468.43774956,282359,PUBLIX  0816,920 Highway 81 E,,McDonough,GA,30252,2978,HENRY,Supermarket,33.437115,-84.1213,,,11155
